Month,Revenue_SaaS,Revenue_API,Revenue_Marketplace,Revenue_Partnerships,Total_Revenue,Costs_Infrastructure,Costs_Team,Costs_Marketing,Costs_CAC,Total_Costs,Net_Income,Cumulative_Net
1,15000,0,0,0,15000,2000,8000,2000,1500,13500,1500,1500
2,16500,500,0,0,17000,2000,8000,2000,1650,13650,3350,4850
3,18150,1000,0,500,19650,2000,8000,2000,1815,13815,5835,10685
4,19965,2000,1000,1000,23965,2000,8000,2000,1997,13997,9968,20653
5,21962,3500,2000,1500,28962,2000,8000,2000,2196,14196,14766,35419
6,24158,5000,3000,2000,34158,2000,8000,2000,2416,14416,19742,55161
7,26574,7000,4000,2500,40074,2000,8000,2000,2657,14657,25417,80578
8,29231,9000,5000,3000,46231,2000,8000,2000,2923,14923,31308,111886
9,32154,11000,6000,3500,52654,2000,8000,2000,3215,15215,37439,149325
10,35370,13000,7000,4000,59370,2000,8000,2000,3537,15537,43833,193158
11,38907,15000,8000,4500,66407,2000,8000,2000,3891,15891,50516,243674
12,42798,15000,8000,5000,70798,2000,8000,2000,4280,16280,54518,298192
